# ahrs_csv source=esp32-c3 algo=vqf-c accel_unit=g gyro_unit=rad/s frame=hand bias_subtracted=1 nominal_fs=100
t_us,gx,gy,gz,ax,ay,az,qw,qx,qy,qz
5136011,0.0004908964,-0.0003266665,0.0005983226,0.035461,0.028137,1.0273,0.9997462,0.01404493,-0.01761829,9.503176e-05
5149204,0.00075721,7.280754e-05,-0.0004669409,0.035828,0.025513,1.0222,0.9997463,0.01403711,-0.01761821,9.297943e-05
5162222,0.0002245754,-0.0004598247,0.000864638,0.034546,0.02948,1.0189,0.9997463,0.01404224,-0.01761639,9.715841e-05
5175242,-0.001772791,0.0003391234,-0.0002006255,0.033997,0.027771,1.0258,0.9997466,0.01403026,-0.01760757,9.597876e-05
5188444,-0.001506474,0.0007385979,6.568991e-05,0.035706,0.029358,1.0236,0.9997467,0.01402591,-0.01760364,9.616688e-05
5201541,0.0006240532,0.0006054398,6.568991e-05,0.035034,0.029114,1.0229,0.9997467,0.01403131,-0.01759798,9.651557e-05
5214644,0.0003577396,-0.0001935083,-0.0007332582,0.035583,0.02832,1.0278,0.9997467,0.01403195,-0.0175977,9.287286e-05
5227814,-0.0007075295,0.0003391234,0.000465164,0.033447,0.02832,1.0279,0.999747,0.0140272,-0.01758698,9.505342e-05
5240602,0.0003577396,-0.001525089,0.0003320072,0.036804,0.028564,1.0228,0.9997467,0.0140292,-0.01759859,9.668893e-05
5253608,-0.0004412085,0.00127123,0.0001988485,0.036255,0.027954,1.0237,0.9997469,0.01402493,-0.0175941,9.779546e-05
5266550,9.141862e-05,-0.001125615,-0.0003337841,0.034668,0.029724,1.0253,0.9997467,0.01402962,-0.01759556,9.592407e-05
5279813,9.141862e-05,-6.035063e-05,0.0005983226,0.035583,0.027771,1.0247,0.9997469,0.01402725,-0.01759519,9.895772e-05
5292937,0.0003577396,0.0006054398,-0.0009995736,0.033447,0.028992,1.0244,0.9997469,0.01403075,-0.01758385,9.389094e-05
5306131,-0.001373317,-6.035063e-05,0.0005983226,0.034302,0.029541,1.0239,0.9997471,0.01402747,-0.01757913,9.662195e-05
5319324,0.0002245754,0.0002059657,0.000864638,0.036438,0.029419,1.0242,0.999747,0.01403166,-0.01758063,0.0001009578
5332254,9.141862e-05,0.0007385979,0.000864638,0.035828,0.026245,1.0253,0.9997472,0.01402399,-0.01757722,0.0001054845
5345274,0.0008903667,0.0003391234,-0.0007332582,0.036255,0.028442,1.027,0.9997472,0.01402795,-0.01757697,0.0001019521
5358384,-0.0004412085,-0.000726141,0.000465164,0.037231,0.028137,1.0256,0.999747,0.01402425,-0.0175856,0.000104283
5371218,-0.0004412085,7.280754e-05,0.0009977967,0.036255,0.026855,1.0229,0.9997471,0.01401645,-0.01758724,0.000109361
5384333,-0.0004412085,0.0008717561,0.0001988485,0.03595,0.027954,1.0238,0.9997472,0.01401243,-0.01758369,0.0001104202
5397443,0.0006240532,0.0004722816,0.001530429,0.034973,0.028442,1.0277,0.9997473,0.01401491,-0.0175785,0.0001181264
5410369,9.141862e-05,-0.0004598247,-0.0007332582,0.036377,0.029602,1.0247,0.9997472,0.01401907,-0.01758287,0.0001144026
5423658,-0.0003080517,-0.0004598247,-6.746687e-05,0.0354,0.02948,1.0229,0.9997472,0.01402091,-0.01758422,0.0001139337
5436803,-4.173815e-05,-0.0004598247,6.568991e-05,0.0354,0.029541,1.0284,0.9997471,0.01402374,-0.01758495,0.0001141507
5449866,0.0003577396,0.00127123,0.000864638,0.03595,0.026917,1.0206,0.9997472,0.01402057,-0.01757984,0.0001186959
5462619,-0.00124016,0.001138072,-0.0006000996,0.034363,0.029724,1.0231,0.9997473,0.01401855,-0.01756988,0.0001155353
5475642,0.0004908964,0.0004722816,-0.001399048,0.034973,0.027588,1.0269,0.9997475,0.01401795,-0.01756481,0.0001086374
5488808,0.0002245754,0.0002059657,0.0005983226,0.034851,0.026672,1.025,0.9997477,0.01401293,-0.01756073,0.0001116154
5501804,9.141862e-05,-0.0001935083,0.001264114,0.035889,0.027405,1.0238,0.9997476,0.01400959,-0.01756192,0.0001178171
5514875,-0.000973843,0.0006054398,-0.0007332582,0.034363,0.030334,1.0225,0.9997478,0.01401048,-0.01755414,0.0001137188
5528069,0.001156688,0.0006054398,0.0005983226,0.033447,0.029297,1.0226,0.9997478,0.01401845,-0.01754351,0.00011645
5540913,0.0008903667,-0.0003266665,0.001130955,0.035828,0.032776,1.0256,0.9997476,0.01403554,-0.01754467,0.0001216453
5554019,0.0006240532,0.0007385979,0.0003320072,0.035828,0.028259,1.0264,0.9997476,0.01403705,-0.01754032,0.0001231279
5567118,0.0003577396,-6.035063e-05,0.0001988485,0.035461,0.02771,1.0267,0.9997478,0.0140355,-0.01753874,0.0001238627
5580146,-0.0004412085,0.002735969,0.000465164,0.037537,0.029297,1.0251,0.9997478,0.01403495,-0.01752977,0.0001260454
5593163,0.0006240532,0.003801233,6.568991e-05,0.036133,0.028076,1.0264,0.9997482,0.01403586,-0.01751107,0.000126394
5606096,0.0004908964,0.004067549,-0.0007332582,0.036926,0.028381,1.0211,0.9997485,0.01403755,-0.01749403,0.000122764
5619122,0.001156688,0.006597552,-0.001399048,0.033875,0.028931,1.0308,0.999749,0.01404341,-0.01745423,0.0001158769
5631956,0.003553532,0.01898125,0.0009977967,0.037537,0.028442,1.0211,0.9997504,0.01406026,-0.01736531,0.0001222315
5644807,0.004485637,0.04428128,-0.0004669409,0.044128,0.029053,1.0167,0.9997534,0.01408392,-0.01717111,0.0001233812
5657808,0.008480377,0.07157868,-0.0004669409,0.026123,0.032166,1.0303,0.9997592,0.01413533,-0.01678776,0.0001259228
5670677,0.006083533,0.05040655,0.0001988485,0.036621,0.03009,1.0184,0.9997628,0.01416932,-0.01654408,0.0001306667
